[2020-08-25 08:59:23.424] [plc_logger] [info] Execution time for plc min loop - ns; 38662 ; mutexlockTime ; 1228 ; difference ; 37434
[2020-08-25 08:59:23.624] [plc_logger] [info] Execution time for plc min loop - ns; 60408 ; mutexlockTime ; 1055 ; difference ; 59353
[2020-08-25 08:59:23.824] [plc_logger] [info] Execution time for plc min loop - ns; 44919 ; mutexlockTime ; 1117 ; difference ; 43802
[2020-08-25 08:59:24.024] [plc_logger] [info] Execution time for plc min loop - ns; 43189 ; mutexlockTime ; 958 ; difference ; 42231
[2020-08-25 08:59:24.224] [plc_logger] [info] Execution time for plc min loop - ns; 71750 ; mutexlockTime ; 1332 ; difference ; 70418
[2020-08-25 08:59:24.424] [plc_logger] [info] Execution time for plc min loop - ns; 37637 ; mutexlockTime ; 461 ; difference ; 37176
[2020-08-25 08:59:24.624] [plc_logger] [info] Execution time for plc min loop - ns; 36068 ; mutexlockTime ; 333 ; difference ; 35735
[2020-08-25 08:59:24.824] [plc_logger] [info] Execution time for plc min loop - ns; 38793 ; mutexlockTime ; 758 ; difference ; 38035
[2020-08-25 08:59:25.024] [plc_logger] [info] Execution time for plc min loop - ns; 38005 ; mutexlockTime ; 1078 ; difference ; 36927
[2020-08-25 08:59:25.229] [plc_logger] [info] Execution time for plc min loop - ns; 4946831 ; mutexlockTime ; 4894633 ; difference ; 52198
[2020-08-25 08:59:25.431] [plc_logger] [info] Execution time for plc min loop - ns; 7521226 ; mutexlockTime ; 7476200 ; difference ; 45026
[2020-08-25 08:59:25.634] [plc_logger] [info] Execution time for plc min loop - ns; 9870475 ; mutexlockTime ; 9811108 ; difference ; 59367
[2020-08-25 08:59:25.836] [plc_logger] [info] Execution time for plc min loop - ns; 12531998 ; mutexlockTime ; 12490979 ; difference ; 41019
[2020-08-25 08:59:26.024] [plc_logger] [info] Execution time for plc min loop - ns; 51988 ; mutexlockTime ; 1167 ; difference ; 50821
[2020-08-25 08:59:26.224] [plc_logger] [info] Execution time for plc min loop - ns; 38769 ; mutexlockTime ; 288 ; difference ; 38481
[2020-08-25 08:59:26.424] [plc_logger] [info] Execution time for plc min loop - ns; 54297 ; mutexlockTime ; 1528 ; difference ; 52769
[2020-08-25 08:59:26.624] [plc_logger] [info] Execution time for plc min loop - ns; 43678 ; mutexlockTime ; 1264 ; difference ; 42414
[2020-08-25 08:59:26.824] [plc_logger] [info] Execution time for plc min loop - ns; 46590 ; mutexlockTime ; 454 ; difference ; 46136
[2020-08-25 08:59:27.024] [plc_logger] [info] Execution time for plc min loop - ns; 75724 ; mutexlockTime ; 1205 ; difference ; 74519
[2020-08-25 08:59:27.224] [plc_logger] [info] Execution time for plc min loop - ns; 36418 ; mutexlockTime ; 293 ; difference ; 36125
[2020-08-25 08:59:27.424] [plc_logger] [info] Execution time for plc min loop - ns; 40809 ; mutexlockTime ; 283 ; difference ; 40526
[2020-08-25 08:59:27.624] [plc_logger] [info] Execution time for plc min loop - ns; 35376 ; mutexlockTime ; 342 ; difference ; 35034
[2020-08-25 08:59:27.824] [plc_logger] [info] Execution time for plc min loop - ns; 37567 ; mutexlockTime ; 293 ; difference ; 37274
[2020-08-25 08:59:28.024] [plc_logger] [info] Execution time for plc min loop - ns; 37093 ; mutexlockTime ; 384 ; difference ; 36709
[2020-08-25 08:59:28.224] [plc_logger] [info] Execution time for plc min loop - ns; 49860 ; mutexlockTime ; 1444 ; difference ; 48416
[2020-08-25 08:59:28.424] [plc_logger] [info] Execution time for plc min loop - ns; 38689 ; mutexlockTime ; 311 ; difference ; 38378
[2020-08-25 08:59:28.624] [plc_logger] [info] Execution time for plc min loop - ns; 57907 ; mutexlockTime ; 587 ; difference ; 57320
[2020-08-25 08:59:28.824] [plc_logger] [info] Execution time for plc min loop - ns; 46935 ; mutexlockTime ; 577 ; difference ; 46358
[2020-08-25 08:59:29.024] [plc_logger] [info] Execution time for plc min loop - ns; 33794 ; mutexlockTime ; 368 ; difference ; 33426
[2020-08-25 08:59:29.224] [plc_logger] [info] Execution time for plc min loop - ns; 45110 ; mutexlockTime ; 440 ; difference ; 44670
[2020-08-25 08:59:29.424] [plc_logger] [info] Execution time for plc min loop - ns; 36764 ; mutexlockTime ; 302 ; difference ; 36462
[2020-08-25 08:59:29.624] [plc_logger] [info] Execution time for plc min loop - ns; 822810 ; mutexlockTime ; 780828 ; difference ; 41982
[2020-08-25 08:59:29.828] [plc_logger] [info] Execution time for plc min loop - ns; 4734920 ; mutexlockTime ; 4679919 ; difference ; 55001
[2020-08-25 08:59:30.029] [plc_logger] [info] Execution time for plc min loop - ns; 5512886 ; mutexlockTime ; 5463268 ; difference ; 49618
[2020-08-25 08:59:30.224] [plc_logger] [info] Execution time for plc min loop - ns; 36982 ; mutexlockTime ; 340 ; difference ; 36642
[2020-08-25 08:59:30.424] [plc_logger] [info] Execution time for plc min loop - ns; 37759 ; mutexlockTime ; 541 ; difference ; 37218
[2020-08-25 08:59:30.624] [plc_logger] [info] Execution time for plc min loop - ns; 61826 ; mutexlockTime ; 1361 ; difference ; 60465
