[2020-08-25 09:12:45.058] [plc_logger] [info] Execution time for plc min loop - ns; 51654 ; mutexlockTime ; 896 ; difference ; 50758
[2020-08-25 09:12:45.258] [plc_logger] [info] Execution time for plc min loop - ns; 44075 ; mutexlockTime ; 1089 ; difference ; 42986
[2020-08-25 09:12:45.491] [plc_logger] [info] Execution time for plc min loop - ns; 24394221 ; mutexlockTime ; 24353608 ; difference ; 40613
[2020-08-25 09:12:45.658] [plc_logger] [info] Execution time for plc min loop - ns; 41176 ; mutexlockTime ; 897 ; difference ; 40279
[2020-08-25 09:12:45.858] [plc_logger] [info] Execution time for plc min loop - ns; 44572 ; mutexlockTime ; 1039 ; difference ; 43533
[2020-08-25 09:12:46.058] [plc_logger] [info] Execution time for plc min loop - ns; 40673 ; mutexlockTime ; 964 ; difference ; 39709
[2020-08-25 09:12:46.258] [plc_logger] [info] Execution time for plc min loop - ns; 42886 ; mutexlockTime ; 1256 ; difference ; 41630
[2020-08-25 09:12:46.458] [plc_logger] [info] Execution time for plc min loop - ns; 44584 ; mutexlockTime ; 1299 ; difference ; 43285
[2020-08-25 09:12:46.658] [plc_logger] [info] Execution time for plc min loop - ns; 52342 ; mutexlockTime ; 1188 ; difference ; 51154
[2020-08-25 09:12:46.858] [plc_logger] [info] Execution time for plc min loop - ns; 48615 ; mutexlockTime ; 1553 ; difference ; 47062
[2020-08-25 09:12:47.058] [plc_logger] [info] Execution time for plc min loop - ns; 85076 ; mutexlockTime ; 1234 ; difference ; 83842
[2020-08-25 09:12:47.258] [plc_logger] [info] Execution time for plc min loop - ns; 57081 ; mutexlockTime ; 1237 ; difference ; 55844
[2020-08-25 09:12:47.458] [plc_logger] [info] Execution time for plc min loop - ns; 54157 ; mutexlockTime ; 1240 ; difference ; 52917
[2020-08-25 09:12:47.658] [plc_logger] [info] Execution time for plc min loop - ns; 51217 ; mutexlockTime ; 1088 ; difference ; 50129
[2020-08-25 09:12:47.858] [plc_logger] [info] Execution time for plc min loop - ns; 56428 ; mutexlockTime ; 762 ; difference ; 55666
[2020-08-25 09:12:48.058] [plc_logger] [info] Execution time for plc min loop - ns; 77319 ; mutexlockTime ; 828 ; difference ; 76491
[2020-08-25 09:12:48.258] [plc_logger] [info] Execution time for plc min loop - ns; 49728 ; mutexlockTime ; 1510 ; difference ; 48218
[2020-08-25 09:12:48.458] [plc_logger] [info] Execution time for plc min loop - ns; 43712 ; mutexlockTime ; 1284 ; difference ; 42428
[2020-08-25 09:12:48.658] [plc_logger] [info] Execution time for plc min loop - ns; 73946 ; mutexlockTime ; 1759 ; difference ; 72187
[2020-08-25 09:12:48.858] [plc_logger] [info] Execution time for plc min loop - ns; 64695 ; mutexlockTime ; 1642 ; difference ; 63053
[2020-08-25 09:12:49.058] [plc_logger] [info] Execution time for plc min loop - ns; 58212 ; mutexlockTime ; 1424 ; difference ; 56788
[2020-08-25 09:12:49.258] [plc_logger] [info] Execution time for plc min loop - ns; 44388 ; mutexlockTime ; 1217 ; difference ; 43171
[2020-08-25 09:12:49.458] [plc_logger] [info] Execution time for plc min loop - ns; 46185 ; mutexlockTime ; 1442 ; difference ; 44743
[2020-08-25 09:12:49.658] [plc_logger] [info] Execution time for plc min loop - ns; 48172 ; mutexlockTime ; 1244 ; difference ; 46928
[2020-08-25 09:12:49.858] [plc_logger] [info] Execution time for plc min loop - ns; 55358 ; mutexlockTime ; 1374 ; difference ; 53984
[2020-08-25 09:12:50.058] [plc_logger] [info] Execution time for plc min loop - ns; 43604 ; mutexlockTime ; 1134 ; difference ; 42470
[2020-08-25 09:12:50.258] [plc_logger] [info] Execution time for plc min loop - ns; 49778 ; mutexlockTime ; 1135 ; difference ; 48643
[2020-08-25 09:12:50.458] [plc_logger] [info] Execution time for plc min loop - ns; 39022 ; mutexlockTime ; 1060 ; difference ; 37962
[2020-08-25 09:12:50.658] [plc_logger] [info] Execution time for plc min loop - ns; 65772 ; mutexlockTime ; 1552 ; difference ; 64220
[2020-08-25 09:12:50.858] [plc_logger] [info] Execution time for plc min loop - ns; 71689 ; mutexlockTime ; 1619 ; difference ; 70070
[2020-08-25 09:12:51.058] [plc_logger] [info] Execution time for plc min loop - ns; 44634 ; mutexlockTime ; 1222 ; difference ; 43412
[2020-08-25 09:12:51.258] [plc_logger] [info] Execution time for plc min loop - ns; 43906 ; mutexlockTime ; 1058 ; difference ; 42848
[2020-08-25 09:12:51.458] [plc_logger] [info] Execution time for plc min loop - ns; 59621 ; mutexlockTime ; 1380 ; difference ; 58241
[2020-08-25 09:12:51.658] [plc_logger] [info] Execution time for plc min loop - ns; 55337 ; mutexlockTime ; 1371 ; difference ; 53966
[2020-08-25 09:12:51.858] [plc_logger] [info] Execution time for plc min loop - ns; 45381 ; mutexlockTime ; 1011 ; difference ; 44370
[2020-08-25 09:12:52.058] [plc_logger] [info] Execution time for plc min loop - ns; 39079 ; mutexlockTime ; 1090 ; difference ; 37989
[2020-08-25 09:12:52.258] [plc_logger] [info] Execution time for plc min loop - ns; 78370 ; mutexlockTime ; 1193 ; difference ; 77177
[2020-08-25 09:12:52.458] [plc_logger] [info] Execution time for plc min loop - ns; 48619 ; mutexlockTime ; 1200 ; difference ; 47419
[2020-08-25 09:12:52.658] [plc_logger] [info] Execution time for plc min loop - ns; 64743 ; mutexlockTime ; 1364 ; difference ; 63379
[2020-08-25 09:12:52.858] [plc_logger] [info] Execution time for plc min loop - ns; 50533 ; mutexlockTime ; 1255 ; difference ; 49278
[2020-08-25 09:12:53.058] [plc_logger] [info] Execution time for plc min loop - ns; 56383 ; mutexlockTime ; 1302 ; difference ; 55081
[2020-08-25 09:12:53.258] [plc_logger] [info] Execution time for plc min loop - ns; 43432 ; mutexlockTime ; 1327 ; difference ; 42105
[2020-08-25 09:12:53.458] [plc_logger] [info] Execution time for plc min loop - ns; 49202 ; mutexlockTime ; 1483 ; difference ; 47719
[2020-08-25 09:12:53.658] [plc_logger] [info] Execution time for plc min loop - ns; 43829 ; mutexlockTime ; 1190 ; difference ; 42639
[2020-08-25 09:12:53.858] [plc_logger] [info] Execution time for plc min loop - ns; 47427 ; mutexlockTime ; 967 ; difference ; 46460
[2020-08-25 09:12:54.171] [plc_logger] [info] Execution time for plc min loop - ns; 113451482 ; mutexlockTime ; 113389928 ; difference ; 61554
[2020-08-25 09:12:54.391] [plc_logger] [info] Execution time for plc min loop - ns; 133845695 ; mutexlockTime ; 43073660 ; difference ; 90772035
[2020-08-25 09:12:54.842] [plc_logger] [info] Execution time for plc min loop - ns; 384278897 ; mutexlockTime ; 384231866 ; difference ; 47031
[2020-08-25 09:12:55.002] [plc_logger] [info] Execution time for plc min loop - ns; 160238153 ; mutexlockTime ; 160190965 ; difference ; 47188
[2020-08-25 09:12:55.320] [plc_logger] [info] Execution time for plc min loop - ns; 317969946 ; mutexlockTime ; 317905699 ; difference ; 64247
[2020-08-25 09:12:55.542] [plc_logger] [info] Execution time for plc min loop - ns; 221627195 ; mutexlockTime ; 190858004 ; difference ; 30769191
[2020-08-25 09:12:55.905] [plc_logger] [info] Execution time for plc min loop - ns; 363584130 ; mutexlockTime ; 264995332 ; difference ; 98588798
[2020-08-25 09:12:56.326] [plc_logger] [info] Execution time for plc min loop - ns; 420547812 ; mutexlockTime ; 200416887 ; difference ; 220130925
[2020-08-25 09:12:56.797] [plc_logger] [info] Execution time for plc min loop - ns; 470624464 ; mutexlockTime ; 470571843 ; difference ; 52621
[2020-08-25 09:12:56.849] [plc_logger] [info] Execution time for plc min loop - ns; 52304093 ; mutexlockTime ; 18737579 ; difference ; 33566514
[2020-08-25 09:12:57.523] [plc_logger] [info] Execution time for plc min loop - ns; 673700715 ; mutexlockTime ; 256782532 ; difference ; 416918183
[2020-08-25 09:12:57.957] [plc_logger] [info] Execution time for plc min loop - ns; 434595021 ; mutexlockTime ; 434553612 ; difference ; 41409
[2020-08-25 09:12:58.147] [plc_logger] [info] Execution time for plc min loop - ns; 189118964 ; mutexlockTime ; 148539416 ; difference ; 40579548
[2020-08-25 09:12:58.729] [plc_logger] [info] Execution time for plc min loop - ns; 582873596 ; mutexlockTime ; 313766173 ; difference ; 269107423
[2020-08-25 09:12:59.171] [plc_logger] [info] Execution time for plc min loop - ns; 441511335 ; mutexlockTime ; 441467383 ; difference ; 43952
[2020-08-25 09:12:59.191] [plc_logger] [info] Execution time for plc min loop - ns; 20265499 ; mutexlockTime ; 20225331 ; difference ; 40168
[2020-08-25 09:12:59.385] [plc_logger] [info] Execution time for plc min loop - ns; 194089882 ; mutexlockTime ; 194048155 ; difference ; 41727
[2020-08-25 09:12:59.921] [plc_logger] [info] Execution time for plc min loop - ns; 535201892 ; mutexlockTime ; 14926249 ; difference ; 520275643
[2020-08-25 09:13:00.945] [plc_logger] [info] Execution time for plc min loop - ns; 1024609417 ; mutexlockTime ; 1024552163 ; difference ; 57254
[2020-08-25 09:13:01.162] [plc_logger] [info] Execution time for plc min loop - ns; 217111927 ; mutexlockTime ; 217054285 ; difference ; 57642
[2020-08-25 09:13:01.360] [plc_logger] [info] Execution time for plc min loop - ns; 197144276 ; mutexlockTime ; 197083013 ; difference ; 61263
[2020-08-25 09:13:01.593] [plc_logger] [info] Execution time for plc min loop - ns; 233211746 ; mutexlockTime ; 233153205 ; difference ; 58541
[2020-08-25 09:13:01.991] [plc_logger] [info] Execution time for plc min loop - ns; 398204565 ; mutexlockTime ; 77432606 ; difference ; 320771959
[2020-08-25 09:13:02.669] [plc_logger] [info] Execution time for plc min loop - ns; 678340007 ; mutexlockTime ; 678296444 ; difference ; 43563
[2020-08-25 09:13:02.695] [plc_logger] [info] Execution time for plc min loop - ns; 25490932 ; mutexlockTime ; 25443802 ; difference ; 47130
[2020-08-25 09:13:03.196] [plc_logger] [info] Execution time for plc min loop - ns; 501461240 ; mutexlockTime ; 501413476 ; difference ; 47764
[2020-08-25 09:13:03.253] [plc_logger] [info] Execution time for plc min loop - ns; 56412716 ; mutexlockTime ; 22779208 ; difference ; 33633508
[2020-08-25 09:13:03.832] [plc_logger] [info] Execution time for plc min loop - ns; 579035775 ; mutexlockTime ; 578971546 ; difference ; 64229
[2020-08-25 09:13:04.024] [plc_logger] [info] Execution time for plc min loop - ns; 192089736 ; mutexlockTime ; 22736077 ; difference ; 169353659
[2020-08-25 09:13:04.447] [plc_logger] [info] Execution time for plc min loop - ns; 422556285 ; mutexlockTime ; 422502370 ; difference ; 53915
[2020-08-25 09:13:04.686] [plc_logger] [info] Execution time for plc min loop - ns; 239693734 ; mutexlockTime ; 239631782 ; difference ; 61952
[2020-08-25 09:13:05.134] [plc_logger] [info] Execution time for plc min loop - ns; 447492636 ; mutexlockTime ; 192867280 ; difference ; 254625356
