[2020-08-25 09:05:55.013] [plc_logger] [info] Execution time for plc min loop - ns; 40276 ; mutexlockTime ; 107 ; difference ; 40169
[2020-08-25 09:05:55.213] [plc_logger] [info] Execution time for plc min loop - ns; 45081 ; mutexlockTime ; 1065 ; difference ; 44016
[2020-08-25 09:05:55.413] [plc_logger] [info] Execution time for plc min loop - ns; 63740 ; mutexlockTime ; 1386 ; difference ; 62354
[2020-08-25 09:05:55.613] [plc_logger] [info] Execution time for plc min loop - ns; 46265 ; mutexlockTime ; 1138 ; difference ; 45127
[2020-08-25 09:05:55.813] [plc_logger] [info] Execution time for plc min loop - ns; 53947 ; mutexlockTime ; 9529 ; difference ; 44418
[2020-08-25 09:05:56.013] [plc_logger] [info] Execution time for plc min loop - ns; 40193 ; mutexlockTime ; 750 ; difference ; 39443
[2020-08-25 09:05:56.213] [plc_logger] [info] Execution time for plc min loop - ns; 57123 ; mutexlockTime ; 997 ; difference ; 56126
[2020-08-25 09:05:56.413] [plc_logger] [info] Execution time for plc min loop - ns; 38879 ; mutexlockTime ; 1195 ; difference ; 37684
[2020-08-25 09:05:56.613] [plc_logger] [info] Execution time for plc min loop - ns; 40215 ; mutexlockTime ; 1259 ; difference ; 38956
[2020-08-25 09:05:56.813] [plc_logger] [info] Execution time for plc min loop - ns; 58828 ; mutexlockTime ; 1302 ; difference ; 57526
[2020-08-25 09:05:57.013] [plc_logger] [info] Execution time for plc min loop - ns; 40474 ; mutexlockTime ; 570 ; difference ; 39904
[2020-08-25 09:05:57.213] [plc_logger] [info] Execution time for plc min loop - ns; 46478 ; mutexlockTime ; 557 ; difference ; 45921
[2020-08-25 09:05:57.413] [plc_logger] [info] Execution time for plc min loop - ns; 49651 ; mutexlockTime ; 801 ; difference ; 48850
[2020-08-25 09:05:57.613] [plc_logger] [info] Execution time for plc min loop - ns; 59813 ; mutexlockTime ; 808 ; difference ; 59005
[2020-08-25 09:05:57.813] [plc_logger] [info] Execution time for plc min loop - ns; 45159 ; mutexlockTime ; 656 ; difference ; 44503
[2020-08-25 09:05:58.013] [plc_logger] [info] Execution time for plc min loop - ns; 44371 ; mutexlockTime ; 606 ; difference ; 43765
[2020-08-25 09:05:58.213] [plc_logger] [info] Execution time for plc min loop - ns; 45061 ; mutexlockTime ; 750 ; difference ; 44311
[2020-08-25 09:05:58.413] [plc_logger] [info] Execution time for plc min loop - ns; 43976 ; mutexlockTime ; 531 ; difference ; 43445
[2020-08-25 09:05:58.613] [plc_logger] [info] Execution time for plc min loop - ns; 46837 ; mutexlockTime ; 622 ; difference ; 46215
[2020-08-25 09:05:58.813] [plc_logger] [info] Execution time for plc min loop - ns; 74212 ; mutexlockTime ; 599 ; difference ; 73613
[2020-08-25 09:05:59.013] [plc_logger] [info] Execution time for plc min loop - ns; 50994 ; mutexlockTime ; 619 ; difference ; 50375
[2020-08-25 09:05:59.213] [plc_logger] [info] Execution time for plc min loop - ns; 59381 ; mutexlockTime ; 536 ; difference ; 58845
[2020-08-25 09:05:59.413] [plc_logger] [info] Execution time for plc min loop - ns; 61288 ; mutexlockTime ; 702 ; difference ; 60586
[2020-08-25 09:05:59.613] [plc_logger] [info] Execution time for plc min loop - ns; 73617 ; mutexlockTime ; 1051 ; difference ; 72566
[2020-08-25 09:05:59.813] [plc_logger] [info] Execution time for plc min loop - ns; 65228 ; mutexlockTime ; 645 ; difference ; 64583
[2020-08-25 09:06:00.013] [plc_logger] [info] Execution time for plc min loop - ns; 44703 ; mutexlockTime ; 525 ; difference ; 44178
[2020-08-25 09:06:00.213] [plc_logger] [info] Execution time for plc min loop - ns; 42977 ; mutexlockTime ; 749 ; difference ; 42228
[2020-08-25 09:06:00.413] [plc_logger] [info] Execution time for plc min loop - ns; 41583 ; mutexlockTime ; 527 ; difference ; 41056
[2020-08-25 09:06:00.613] [plc_logger] [info] Execution time for plc min loop - ns; 48012 ; mutexlockTime ; 676 ; difference ; 47336
[2020-08-25 09:06:00.813] [plc_logger] [info] Execution time for plc min loop - ns; 51190 ; mutexlockTime ; 686 ; difference ; 50504
[2020-08-25 09:06:01.013] [plc_logger] [info] Execution time for plc min loop - ns; 48851 ; mutexlockTime ; 802 ; difference ; 48049
[2020-08-25 09:06:01.213] [plc_logger] [info] Execution time for plc min loop - ns; 50104 ; mutexlockTime ; 1043 ; difference ; 49061
[2020-08-25 09:06:01.446] [plc_logger] [info] Execution time for plc min loop - ns; 33494642 ; mutexlockTime ; 19373880 ; difference ; 14120762
[2020-08-25 09:06:01.669] [plc_logger] [info] Execution time for plc min loop - ns; 56487793 ; mutexlockTime ; 41916954 ; difference ; 14570839
[2020-08-25 09:06:01.879] [plc_logger] [info] Execution time for plc min loop - ns; 66324513 ; mutexlockTime ; 48690418 ; difference ; 17634095
[2020-08-25 09:06:02.115] [plc_logger] [info] Execution time for plc min loop - ns; 102486586 ; mutexlockTime ; 86112038 ; difference ; 16374548
[2020-08-25 09:06:02.352] [plc_logger] [info] Execution time for plc min loop - ns; 138719370 ; mutexlockTime ; 89459892 ; difference ; 49259478
[2020-08-25 09:06:02.466] [plc_logger] [info] Execution time for plc min loop - ns; 53124947 ; mutexlockTime ; 36849238 ; difference ; 16275709
[2020-08-25 09:06:02.765] [plc_logger] [info] Execution time for plc min loop - ns; 152503484 ; mutexlockTime ; 152440079 ; difference ; 63405
[2020-08-25 09:06:03.002] [plc_logger] [info] Execution time for plc min loop - ns; 188917808 ; mutexlockTime ; 188856503 ; difference ; 61305
[2020-08-25 09:06:03.103] [plc_logger] [info] Execution time for plc min loop - ns; 90293881 ; mutexlockTime ; 90252955 ; difference ; 40926
[2020-08-25 09:06:03.417] [plc_logger] [info] Execution time for plc min loop - ns; 204082202 ; mutexlockTime ; 80982683 ; difference ; 123099519
[2020-08-25 09:06:03.417] [plc_logger] [info] Execution time for plc min loop - ns; 21541 ; mutexlockTime ; 114 ; difference ; 21427
[2020-08-25 09:06:03.661] [plc_logger] [info] Execution time for plc min loop - ns; 47955086 ; mutexlockTime ; 47906120 ; difference ; 48966
[2020-08-25 09:06:03.845] [plc_logger] [info] Execution time for plc min loop - ns; 31889472 ; mutexlockTime ; 31824804 ; difference ; 64668
[2020-08-25 09:06:04.078] [plc_logger] [info] Execution time for plc min loop - ns; 65212604 ; mutexlockTime ; 65156246 ; difference ; 56358
[2020-08-25 09:06:04.356] [plc_logger] [info] Execution time for plc min loop - ns; 143438852 ; mutexlockTime ; 40328201 ; difference ; 103110651
[2020-08-25 09:06:04.450] [plc_logger] [info] Execution time for plc min loop - ns; 36818906 ; mutexlockTime ; 36744062 ; difference ; 74844
[2020-08-25 09:06:04.673] [plc_logger] [info] Execution time for plc min loop - ns; 60115798 ; mutexlockTime ; 60059946 ; difference ; 55852
[2020-08-25 09:06:04.918] [plc_logger] [info] Execution time for plc min loop - ns; 104520662 ; mutexlockTime ; 104458403 ; difference ; 62259
[2020-08-25 09:06:05.029] [plc_logger] [info] Execution time for plc min loop - ns; 16400681 ; mutexlockTime ; 16348836 ; difference ; 51845
[2020-08-25 09:06:05.328] [plc_logger] [info] Execution time for plc min loop - ns; 115183823 ; mutexlockTime ; 115132520 ; difference ; 51303
[2020-08-25 09:06:05.510] [plc_logger] [info] Execution time for plc min loop - ns; 96723890 ; mutexlockTime ; 96676435 ; difference ; 47455
