[2020-08-25 10:58:30.751] [plc_logger] [info] Execution time for plc min loop - ns; 39095 ; mutexlockTime ; 108 ; difference ; 38987
[2020-08-25 10:58:30.951] [plc_logger] [info] Execution time for plc min loop - ns; 45550 ; mutexlockTime ; 1125 ; difference ; 44425
[2020-08-25 10:58:31.151] [plc_logger] [info] Execution time for plc min loop - ns; 52678 ; mutexlockTime ; 1244 ; difference ; 51434
[2020-08-25 10:58:31.351] [plc_logger] [info] Execution time for plc min loop - ns; 45954 ; mutexlockTime ; 1137 ; difference ; 44817
[2020-08-25 10:58:31.551] [plc_logger] [info] Execution time for plc min loop - ns; 43739 ; mutexlockTime ; 1441 ; difference ; 42298
[2020-08-25 10:58:31.751] [plc_logger] [info] Execution time for plc min loop - ns; 37052 ; mutexlockTime ; 822 ; difference ; 36230
[2020-08-25 10:58:31.951] [plc_logger] [info] Execution time for plc min loop - ns; 55624 ; mutexlockTime ; 449 ; difference ; 55175
[2020-08-25 10:58:32.151] [plc_logger] [info] Execution time for plc min loop - ns; 41330 ; mutexlockTime ; 410 ; difference ; 40920
[2020-08-25 10:58:32.351] [plc_logger] [info] Execution time for plc min loop - ns; 48856 ; mutexlockTime ; 420 ; difference ; 48436
[2020-08-25 10:58:32.551] [plc_logger] [info] Execution time for plc min loop - ns; 36963 ; mutexlockTime ; 536 ; difference ; 36427
[2020-08-25 10:58:32.751] [plc_logger] [info] Execution time for plc min loop - ns; 36184 ; mutexlockTime ; 656 ; difference ; 35528
[2020-08-25 10:58:32.951] [plc_logger] [info] Execution time for plc min loop - ns; 38299 ; mutexlockTime ; 592 ; difference ; 37707
[2020-08-25 10:58:33.151] [plc_logger] [info] Execution time for plc min loop - ns; 49345 ; mutexlockTime ; 13744 ; difference ; 35601
[2020-08-25 10:58:33.351] [plc_logger] [info] Execution time for plc min loop - ns; 37742 ; mutexlockTime ; 859 ; difference ; 36883
[2020-08-25 10:58:33.551] [plc_logger] [info] Execution time for plc min loop - ns; 54093 ; mutexlockTime ; 1023 ; difference ; 53070
[2020-08-25 10:58:33.751] [plc_logger] [info] Execution time for plc min loop - ns; 41089 ; mutexlockTime ; 658 ; difference ; 40431
[2020-08-25 10:58:33.951] [plc_logger] [info] Execution time for plc min loop - ns; 53665 ; mutexlockTime ; 988 ; difference ; 52677
[2020-08-25 10:58:34.151] [plc_logger] [info] Execution time for plc min loop - ns; 39243 ; mutexlockTime ; 469 ; difference ; 38774
[2020-08-25 10:58:34.351] [plc_logger] [info] Execution time for plc min loop - ns; 43548 ; mutexlockTime ; 863 ; difference ; 42685
[2020-08-25 10:58:34.551] [plc_logger] [info] Execution time for plc min loop - ns; 45627 ; mutexlockTime ; 560 ; difference ; 45067
[2020-08-25 10:58:34.751] [plc_logger] [info] Execution time for plc min loop - ns; 43874 ; mutexlockTime ; 632 ; difference ; 43242
[2020-08-25 10:58:34.951] [plc_logger] [info] Execution time for plc min loop - ns; 43709 ; mutexlockTime ; 669 ; difference ; 43040
