[2020-08-25 10:51:58.606] [plc_logger] [info] Execution time for plc min loop - ns; 47151 ; mutexlockTime ; 1243 ; difference ; 45908
[2020-08-25 10:51:58.806] [plc_logger] [info] Execution time for plc min loop - ns; 44055 ; mutexlockTime ; 1935 ; difference ; 42120
[2020-08-25 10:51:59.006] [plc_logger] [info] Execution time for plc min loop - ns; 68470 ; mutexlockTime ; 1098 ; difference ; 67372
[2020-08-25 10:51:59.206] [plc_logger] [info] Execution time for plc min loop - ns; 41930 ; mutexlockTime ; 978 ; difference ; 40952
[2020-08-25 10:51:59.406] [plc_logger] [info] Execution time for plc min loop - ns; 42672 ; mutexlockTime ; 1061 ; difference ; 41611
[2020-08-25 10:51:59.606] [plc_logger] [info] Execution time for plc min loop - ns; 47435 ; mutexlockTime ; 849 ; difference ; 46586
[2020-08-25 10:51:59.806] [plc_logger] [info] Execution time for plc min loop - ns; 81110 ; mutexlockTime ; 1309 ; difference ; 79801
[2020-08-25 10:52:00.006] [plc_logger] [info] Execution time for plc min loop - ns; 45624 ; mutexlockTime ; 339 ; difference ; 45285
[2020-08-25 10:52:00.206] [plc_logger] [info] Execution time for plc min loop - ns; 43561 ; mutexlockTime ; 659 ; difference ; 42902
[2020-08-25 10:52:00.406] [plc_logger] [info] Execution time for plc min loop - ns; 75728 ; mutexlockTime ; 1387 ; difference ; 74341
[2020-08-25 10:52:00.606] [plc_logger] [info] Execution time for plc min loop - ns; 45793 ; mutexlockTime ; 951 ; difference ; 44842
[2020-08-25 10:52:00.806] [plc_logger] [info] Execution time for plc min loop - ns; 62421 ; mutexlockTime ; 2062 ; difference ; 60359
[2020-08-25 10:52:01.006] [plc_logger] [info] Execution time for plc min loop - ns; 64529 ; mutexlockTime ; 2042 ; difference ; 62487
[2020-08-25 10:52:01.206] [plc_logger] [info] Execution time for plc min loop - ns; 43022 ; mutexlockTime ; 618 ; difference ; 42404
[2020-08-25 10:52:01.406] [plc_logger] [info] Execution time for plc min loop - ns; 36136 ; mutexlockTime ; 772 ; difference ; 35364
[2020-08-25 10:52:01.606] [plc_logger] [info] Execution time for plc min loop - ns; 45985 ; mutexlockTime ; 1858 ; difference ; 44127
[2020-08-25 10:52:01.806] [plc_logger] [info] Execution time for plc min loop - ns; 44212 ; mutexlockTime ; 288 ; difference ; 43924
[2020-08-25 10:52:02.006] [plc_logger] [info] Execution time for plc min loop - ns; 61464 ; mutexlockTime ; 1528 ; difference ; 59936
[2020-08-25 10:52:02.206] [plc_logger] [info] Execution time for plc min loop - ns; 50002 ; mutexlockTime ; 842 ; difference ; 49160
[2020-08-25 10:52:02.406] [plc_logger] [info] Execution time for plc min loop - ns; 89373 ; mutexlockTime ; 1319 ; difference ; 88054
[2020-08-25 10:52:02.606] [plc_logger] [info] Execution time for plc min loop - ns; 67628 ; mutexlockTime ; 1208 ; difference ; 66420
[2020-08-25 10:52:02.806] [plc_logger] [info] Execution time for plc min loop - ns; 46231 ; mutexlockTime ; 336 ; difference ; 45895
[2020-08-25 10:52:03.006] [plc_logger] [info] Execution time for plc min loop - ns; 46268 ; mutexlockTime ; 353 ; difference ; 45915
[2020-08-25 10:52:03.206] [plc_logger] [info] Execution time for plc min loop - ns; 36919 ; mutexlockTime ; 359 ; difference ; 36560
[2020-08-25 10:52:03.406] [plc_logger] [info] Execution time for plc min loop - ns; 66771 ; mutexlockTime ; 798 ; difference ; 65973
[2020-08-25 10:52:03.606] [plc_logger] [info] Execution time for plc min loop - ns; 73538 ; mutexlockTime ; 1215 ; difference ; 72323
